ATCOCode,CrsRef
9100BLNGHM,BIL
9100BLOXN,BWN
9100BLOXWCH,BLX
9100BLRD,BLK
9100BLSHL,BLH
9100BLTCHLY,BLY
9100BLTNODR,BTD
9100BLTRNAB,BEG
9100BLYBDGE,BYB
9100BMBRBDG,BMB
9100BMHL,BML
9100BMLY,BMY
9100BNBR,BAN
9100BNDON,BND
9100BNGY,BIY
9100BNHAM,BNM
9100BNHL,BNL
9100BNKHALL,BAH
9100BNRHYDN,BEY
9100BNSBDGE,BNI
9100BNSD,BUD
9100BNSLY,BNY
9100BNTBY,BTB
9100BNTEY,BTY
9100BNTFORD,BFD
9100BNTHAM,BEN
9100BNWK,BRW
9100BODMNPW,BOD
9100BODORGN,BOR
9100BOGNORR,BOG
9100BOGSTON,BGS
9100BOLTON,BON
9100BOMO,BMH
9100BOOKHAM,BKA
9100BOORCHY,BRO
9100BOOTLE,BOC
9100BOOTLNS,BNW
9100BOOTLOR,BOT
9100BORNEND,BNE
9100BORTH,BRH
9100BORWGAW,BRG
9100BOSHAM,BOH
9100BOSTON,BSN
9100BOTESFD,BTF
9100BOTLEY,BOE
9100BOURNVL,BRV
9100BOWBRKH,BWB
9100BOWESPK,BOP
9100BOWLING,BWG
9100BOXHAWH,BXW
9100BRACKNL,BCE
9100BRADFS,BDQ
9100BRADIN,BDI
9100BRAINFP,BTP
9100BRAINTR,BTR
9100BRAMPTN,BRP
9100BRANKSM,BSM
9100BRBM,BDB
9100BRBY,BSY
9100BRBYPK,BSP
9100BRDFDOA,BOA
9100BRDGWTR,BWT
9100BRDING,BDN
9100BRDLNGT,BDT
9100BRDNML,BLL
9100BRDS,BBS
9100BREDBRY,BDY
9100BREICH,BRC
9100BRFRY,BYF
9100BRFT,BMF
9100BRGDDIE,BGI
9100BRGEND,BGN
9100BRGG,BGG
9100BRGHLRD,LRB
9100BRGHTN,BTN
9100BRHD,BRR
9100BRHM,BAA
9100BRHOUSE,BGH
9100BRIDGTN,BDG
9100BRIERFL,BRF
9100BRIMSDN,BMD
9100BRITFRY,BNF
9100BRITHDR,BHD
9100BRIXTON,BRX
9100BRKMNPK,BPK
9100BRKNCPK,CNP
9100BRKNHDC,BKC
9100BRKNHDN,BKN
9100BRKNHDP,BKP
9100BRKWOOD,BKO
9100BRLANDS,BRS
9100BRLEYPK,BUY
9100BRMB,BOM
9100BRMBRK,BMR
9100BRMCRSS,BMC
9100BRMLYSR,BLE
9100BRMOUTH,BRM
9100BRMPTNC,BMP
9100BRMSGRV,BMV
9100BRNCHTN,BCN
9100BRNGTN,BNT
9100BRNHRST,BNH
9100BRNMONC,BUU
9100BRNSTPL,BNP
9100BRNYARM,BYA
9100BROADGR,BGE
9100BROCKLY,BCY
9100BROMLYN,BMN
9100BROMLYS,BMS
9100BROOME,BME
9100BRORA,BRA
9100BROUGH,BUH
9100BROXBRN,BXB
9100BRRHL,BRL
9100BRRYLNK,BYL
9100BRSCGHB,BCB
9100BRSCGHJ,BCJ
9100BRSDE,BUI
9100BRSR,BSR
9100BRSTLTM,BRI
9100BRSTPWY,BPW
9100BRTHMBR,BAU
9100BRTJYC,BUJ
9100BRTWOOD,BRE
9100BRUCGRV,BCV
9100BRUNDAL,BDA
9100BRUNDLG,BGA
9100BRUSTAN,BSU
9100BRUTON,BRU
9100BRWCKUT,BWK
9100BRWHINS,BNR
9100BRYN,BYN
9100BRYSTNS,BYS
9100BSAUKLD,BIA
9100BSAUWEA,BIA
9100BSCTSTA,BSC
9100BSDN,BRN
9100BSHB,BBG
9100BSHPSFD,BIS
9100BSNGSTK,BSK
9100BSPSLYD,BIB
9100BSSN,BIP
9100BSTD,BSD
9100BSTEDMS,BSE
9100BTCHWTH,BTO
9100BTHGATE,BHG
9100BTHNLGR,BET
9100BTLRSLA,BUL
9100BTLSBDG,BLB
9100BTLYSY,BYK
9100BTRSBY,BTT
9100BUCKNHM,BUC
9100BUGLE,BGL
9100BUILTHR,BHR
9100BULWELL,BLW
9100BURES,BUE
9100BURGESH,BUG
9100BURLYIW,BUW
9100BURNLYB,BUB
9100BURNLYC,BNC
9100BURNMR,BYM
9100BURSLDN,BUO
9100BURTNOT,BUT
9100BUSBY,BUS
9100BUSHEY,BSH
9100BUSHYDC,BSH
9100BUXTON,BUX
9100BXLYHTH,BXH
9100BXTD,BXD
9100BYFLANH,BFN
9100BYNEA,BYE
9100CADOXTN,CAD
9100CAERGWL,CGW
9100CALSTCK,CSK
9100CAMBDGE,CBG
9100CAMBNTH,CMB
9100CAMELON,CMO
9100CAMHTH,CBH
9100CANLEY,CNL
9100CANONST,CST
9100CARBISB,CBB
9100CARDFBR,CDB
9100CARDFQS,CDQ
9100CARFIN,CRF
9100CARK,CAK
9100CARLILE,CAR
9100CARMYLE,CML
9100CARRBDG,CAG
9100CARSWS,CWS
9100CASTLFD,CFD
9100CATERHM,CAT
9100CATFBDG,CFB
9100CATFORD,CTF
9100CATHAYS,CYS
9100CATTAL,CTL
9100CAUSLND,CAU
9100CBARPAR,CBP
9100CBAY,CWB
9100CBGH,COH
9100CBHMSDA,CSD
9100CBORNE,CBN
9100CBRK,CBK
9100CCARY,CLC
9100CCRT,CCT
9100CDCOT,CDT
9100CDND,CDD
9100CDNL,CDO
9100CDRS,CDR
9100CEFNYBD,CYB
9100CFFT,CFF
9100CFLATTS,CFL
9100CFPK,CFT
9100CHADHDD,CFH
9100CHAPLTN,CPN
9100CHARTHM,CRT
9100CHASNRD,CSR
9100CHATHAM,CTM
9100CHBURY,CBY
9100CHCHSTR,CCH
9100CHDH,CHU
9100CHDNGTN,CED
