ATCOCode,CrsRef
9100HAWDNBG,HWB
9100HAYESAH,HAY
9100HAYLE,HYL
9100HAYMRKT,HYM
9100HAYS,HYS
9100HAZL,HAZ
9100HBDNBDG,HBD
9100HBRN,HBN
9100HBROOMS,HIB
9100HBRTBDG,HBB
9100HBRY,HBY
9100HCHP,HCH
9100HCKNGTN,HEC
9100HCRT,HMC
9100HDNS,HNF
9100HDON,HEN
9100HDRSFLD,HUD
9100HEADCRN,HCN
9100HEALING,HLI
9100HEATHHL,HHL
9100HEATHLL,HLL
9100HEDGEND,HDE
9100HEDNGLY,HDY
9100HEDSTNL,HDL
9100HELIFLD,HLD
9100HELMSDL,HMS
9100HELSBY,HSB
9100HEMLHMP,HML
9100HENGOED,HNG
9100HENLYIA,HNL
9100HENSALL,HEL
9100HEREFRD,HFD
9100HERNEH,HNH
9100HERSHAM,HER
9100HERTFDE,HFE
9100HESSLE,HES
9100HESWALL,HSW
9100HEVER,HEV
9100HEWORTH,HEW
9100HEXHAM,HEX
9100HEYFORD,HYD
9100HEYMST,HHB
9100HFDN,HFN
9100HFLPEVL,HAP
9100HGHBRDG,HIG
9100HGHI,HHY
9100HGHMSPK,HIP
9100HGHNGTN,HEI
9100HIGHBYA,HII
9100HIGM,HGM
9100HILLSID,HIL
9100HILSEA,HLS
9100HINCKLY,HNK
9100HINDLEY,HIN
9100HINTONA,HNA
9100HITCHIN,HIT
9100HITN,HTO
9100HITW,HID
9100HKBG,HCB
9100HLDG,HDG
9100HLDNBRO,HLB
9100HLFT,HLF
9100HLFX,HFX
9100HLGN,HLG
9100HLMW,HLM
9100HLNGTNE,HLE
9100HLNGTNW,HLW
9100HLNSBRC,HLC
9100HLNSBRU,HLU
9100HLTWHST,HWH
9100HLYH,HHD
9100HMBLE,HME
9100HMPDNPK,HMD
9100HMPHRYP,HUP
9100HMPSTDH,HDH
9100HMPTNIA,HIA
9100HMST,HMT
9100HMWTHY,HAM
9100HNCHLYW,HYW
9100HNDFRTH,HTH
9100HNDSHWT,THW
9100HNGT,HRR
9100HNLYOT,HOT
9100HNTL,HNT
9100HNTNGDN,HUN
9100HOCKLEY,HOC
9100HOLTONH,HOL
9100HOLYTWN,HLY
9100HOMRTON,HMN
9100HONITON,HON
9100HONLEY,HOY
9100HONROPK,HPA
9100HONYBRN,HYB
9100HOOK,HOK
9100HOOTON,HOO
9100HOPC,HPE
9100HOPD,HOP
9100HOPTONH,HPT
9100HORLEY,HOR
9100HORSHAM,HRH
9100HORWICH,HWI
9100HOSCAR,HSC
9100HOUGHGR,HGN
9100HOUNSLW,HOU
9100HOVE,HOV
9100HOWDEN,HOW
9100HOWOOD,HOZ
9100HOWWOOD,HWW
9100HOXTON,HOX
9100HOYLAKE,HYK
9100HRGY,HGY
9100HRGYGL,HRY
9100HRLC,HRL
9100HRLDWOD,HRO
9100HRLG,HLN
9100HRLNGRD,HRD
9100HRLWMIL,HWM
9100HRLWTWN,HWN
9100HRNBPK,HBP
9100HRNEBAY,HNB
9100HRNSY,HRN
9100HROW,HRW
9100HROWDC,HRW
9100HRPNDN,HPD
9100HRSLEY,HSY
9100HRSM,HRM
9100HRSTGRN,HUR
9100HRTLEPL,HPL
9100HRTW,HTW
9100HSFT,HRS
9100HTCHEND,HTE
9100HTCP,HTC
9100HTFLASF,HFS
9100HTHRGRN,HGR
9100HTNCRNS,HUT
9100HTNRIBL,HIR
9100HTRWAPT,LHR
9100HTRWTM4,HAF
9100HTRWTM5,HWV
9100HUCKNAL,HKN
9100HULL,HUL
9100HUNCOAT,HCT
9100HUNGRFD,HGD
9100HUNMNBY,HUB
9100HUNTSX,HNX
9100HUYTON,HUY
9100HWKHEAD,HKH
9100HWYCOMB,HWY
9100HYDB,HDB
9100HYDEC,HYC
9100HYDEN,HYT
9100HYDNSRD,HYR
9100HYKEHAM,HKM
9100HYNDLND,HYN
9100HYWRDSH,HHE
9100IBMM,IBM
9100IFIELD,IFI
9100ILFENBP,NRC
9100ILFORD,IFD
9100ILKES,ILN
9100ILKLEY,ILK
9100INCE,INC
9100INEL,INE
9100INGTSTN,INT
9100INSCH,INS
9100INVERKP,INP
9100INVGWRE,ING
9100INVRSHN,INH
9100INVURIE,INR
9100IPSWICH,IPS
9100IRLAM,IRL
9100IRVN,IRV
9100ISLEWTH,ISL
9100ISLIP,ISP
9100IVER,IVR
9100IVRGRD,IGD
9100IVRKTHG,INK
9100IVRNESS,INV
9100IVYBDGE,IVY
9100JAMCOK,JCH
9100JAMESST,LVJ
9100JHNSTND,JOH
9100JOHNSTN,JHN
9100JORDANH,JOR
9100KCLD,KDY
9100KDRMNST,KID
9100KEARSLY,KSL
9100KEIGHLY,KEI
9100KEITH,KEH
9100KELVEDN,KEL
9100KEMBLE,KEM
9100KEMSING,KMS
9100KENDAL,KEN
9100KENISHD,KNS
9100KENLSTN,KNW
9100KENNETT,KNE
9100KENOLYM,KPA
9100KENR,KNR
9100KENSLG,KNL
9100KENTHOS,KTH
9100KETR,KET
9100KEWBDGE,KWB
9100KEWGRDN,KWG
9100KEYHAM,KEY
9100KEYNSHM,KYN
9100KGHN,KGH
9100KGPK,KGP
9100KGSTON,KNG
9100KGUSSIE,KIN
9100KGWD,KND
9100KIDBROK,KDB
9100KIDSGRV,KDG
9100KIDWELY,KWL
9100KILDONN,KIL
9100KILGETY,KGT
9100KILMRNK,KMK
9100KILWNNG,KWN
9100KINBRAC,KBC
9100KINGHAM,KGM
9100KINSSTN,KGS
9100KINTORE,KTR
9100KIRBYX,KBX
9100KIRKHAM,KKM
9100KKBY,KIR
9100KKSNDAL,KKS
9100KLBRNHR,KBN
9100KLDL,KLD
9100KLGL,KGL
9100KLMAURS,KLM
9100KLPTRCK,KPT
9100KLYNN,KLN
9100KMPSTNH,KMH
9100KMPTNPK,KMP
9100KMSLY,KML
9100KNCKHLT,KCK
9100KNEBWTH,KBW
9100KNGW,KGE
9100KNGX,KGX
9100KNIGHTN,KNI
9100KNLY,KLY
9100KNORTON,KNN
9100KNRSBGH,KNA
9100KNTBRY,KIT
9100KNTNGLY,KNO
9100KNTSHTN,KTN
9100KNTSHTW,KTW
9100KNUCKLS,KNU
9100KNUTSFD,KNF
9100KNYMPTN,KGN
9100KRKBYIF,KBF
9100KRKC,KRK
9100KRKDALE,KKD
9100KRKH,KKH
9100KRKNWTN,KKN
9100KRKSLFR,KLF
9100KRKWOOD,KWD
9100KRKYCEN,KKB
9100KRTNLND,KTL
9100KSNY,KSN
9100KSTP,KSW
9100KTBK,KBK
9100KTON,KNT
9100KVTNBDG,KIV
9100KVTNPK,KVP
9100KYLELSH,KYL
9100LADYBNK,LDY
9100LAINDON,LAI
9100LAIRG,LRG
9100LAKEIOW,LKE
9100LAKNHTH,LAK
9100LAMBH,GSC
9100LAMPHEY,LAM
9100LANARK,LNK
9100LANCSTR,LAN
9100LANDUDJ,LLJ
9100LANFRFC,LLF
9100LANGLEY,LNY
9100LAPFORD,LAP
9100LAPWRTH,LPW
9100LARBERT,LBT
9100LARGS,LAR
9100LARKHAL,LRH
9100LAWRNCH,LWH
9100LAYTON,LAY
9100LAZKRKO,LZB
9100LBDR,LBR
9100LBGHJN,LGJ
9100LCEILOB,LHE
9100LCHALRT,LCL
9100LCHC,LIC
9100LCHESDE,LCS
9100LCHGLLY,LCG
9100LCHLCHR,LCC
9100LCHTTVH,LIF
9100LCHTTVL,LTV
9100LCHWNCH,LHW
9100LCKRBIE,LOC
9100LDBURY,LED
9100LDLNGTN,LID
9100LDYW,LAD
9100LEABDGE,LEB
9100LEAGRVE,LEA
9100LEAHALL,LEH
9100LEALHLM,LHM
9100LEASOWE,LSW
9100LEEDS,LDS
9100LEEE,LEE
9100LEGR,LEG
9100LEIGHK,LIH
9100LELANT,LEL
9100LELANTS,LTS
9100LENHAM,LEN
9100LENZIE,LNZ
9100LEOMNST,LEO
9100LESTER,LEI
9100LETHRHD,LHD
9100LEUCHRS,LEU
9100LEWES,LWS
9100LEWISHM,LEW
9100LEYLAND,LEY
9100LEYTNMR,LEM
9100LFPW,LPG
9100LGBK,LGB
9100LGFD,LGF
9100LGHO,LHO
9100LGML,LGM
9100LGRN,LGG
9100LGWITH,LAG
9100LGWOOD,LGD
9100LHONSEA,LES
9100LHVN,LVN
9100LIMHSE,LHS
9100LINCLNC,LCN
9100LINGFLD,LFD
9100LIPHOOK,LIP
9100LISKARD,LSK
9100LISS,LIS
9100LITLBRO,LTL
9100LIVST,LST
9100LKWD,LCK
9100LLANDAF,LLN
9100LLBRDCH,LNB
9100LLBSTRD,LLT
9100LLDEILO,LLL
9100LLDODW,LLO
9100LLDVERY,LLV
9100LLDYBIE,LLI
9100LLGADOG,LLG
9100LLGMMRW,LLM
9100LLGNNCH,LLH
9100LLGUNLO,LGO
9100LLHARAN,LLR
9100LLHLETH,LTH
9100LLISHEN,LLS
9100LLNLLI,LLE
9100LLNSMLT,LAS
9100LLNWTMR,LWM
9100LLWRDA,LNR
9100LLWRTYW,LNW
9100LLWYNYP,LLY
9100LMNGTNS,LMS
9100LMTNPIR,LYP
9100LMTNTWN,LYT
9100LNAB,LLA
9100LNCG,LAC
9100LNDC,LLC
9100LNDNBDC,LBG
9100LNDNBDE,LBG
9100LNDW,LDN
9100LNDYW,LAW
9100LNGBKBY,LBK
9100LNGCROS,LNG
9100LNGEATN,LGE
9100LNGNDRY,LND
9100LNGP,LPT
9100LNLTHGW,LIN
9100LNRWST,LWR
9100LNSD,LGS
9100LNTN,LGN
9100LOCHAWE,LHA
9100LOGHBRO,LBO
9100LONB,LOB
9100LONFLDS,LOF
9100LONGBCK,LGK
9100LOOE,LOO
9100LOSTCKP,LOT
9100LOWDHAM,LOW
9100LOWMOOR,LMR
9100LOWSTFT,LWT
9100LPRESTN,LPR
9100LRDGFD,LRD
9100LRNCKRK,LAU
9100LSTG,LTG
9100LSTH,LOH
9100LSTWTHL,LOS
9100LSYDNHM,LSY
9100LTCE,LET
9100LTHH,LVT
9100LTLHMPT,LIT
9100LTLKMBL,LTK
9100LTLPORT,LTP
9100LTLSUTN,LTT
9100LTNBZRD,LBZ
9100LUDLOW,LUD
9100LUDO,LLD
9100LUTOAPY,LTN
9100LUTON,LUT
9100LUXULYN,LUX
9100LVHM,LVM
9100LVNSTNN,LSN
9100LVNSTNS,LVG
9100LVRPLCH,LVC
9100LVRPLCL,LVC
9100LVRPLSH,LIV
9100LVRPLSL,LVL
9100LVRPSPY,LPY
9100LWBY,LGW
9100LYDNEY,LYD
9100LYEE,LYE
9100LYMPSTC,LYC
9100LYMPSTN,LYM
9100LYNDHRD,ANF
9100LYNGRIL,LLW
9100LYTHAM,LTM
9100LYTNSHR,LER
9100MACLSFD,MAC
9100MAESTER,MEW
9100MAESTGW,MST
9100MAGHULL,MAG
9100MALDENM,MAL
9100MALTON,MLT
9100MANEA,MNE
9100MANNGTR,MNG
9100MANORS,MAS
9100MANRPK,MNP
9100MARDEN,MRN
9100MARGATE,MAR
9100MARLOW,MLW
9100MARPLE,MPL
9100MARTON,MTO
9100MARYLBN,MYB
9100MASH,MTA
9100MATLCKB,MTB
9100MATLOCK,MAT
9100MAXWLPK,MAX
9100MAYBOLE,MAY
9100MAZEH,MZH
9100MBRK,MBK
9100MCHLDVR,MIC
9100MCHYNLT,MCN
9100MCKLFLD,MIK
9100MDLSBRO,MBR
9100MDNHEAD,MAI
9100MDNNWTN,MDN
9100MDWD,MDL
9100MEADWHL,MHS
9100MELDRTH,MEL
9100MELKSHM,MKM
9100MELS,MEO
9100MELTON,MES
9100MENHENT,MEN
9100MENSTON,MNN
9100MEOLSCP,MEC
9100MEOPHAM,MEP
9100MERSTHM,MHM
9100MERTHRV,MEV
9100MERTHYR,MER
9100MEXBRGH,MEX
9100MFAM,MFA
9100MFLDTWN,MFT
9100MFLDWSE,MSW
9100MHERON,MAO
9100MIDGHAM,MDG
9100MILKNPK,MIN
9100MINFFR,MFD
9100MINFORD,MFF
9100MINMARS,MIM
9100MINSTER,MSR
9100MIRFILD,MIR
9100MISTLEY,MIS
9100MITCHMJ,MIJ
9100MKIN,MNC
9100MKNSCEN,MKC
9100MKTR,MKR
9100MLAIG,MLG
9100MLBRKB,MLB
9100MLDSWTH,MLD
9100MLDTHRD,MAU
9100MLFDHVN,MFH
9100MLFORD,MLF
9100MLGV,MLN
9100MLHB,MIL
9100MLHL,MLH
9100MLLM,MLM
9100MLSECMB,MCB
9100MLSHILL,MIH
9100MLTNSDG,MMO
9100MLVRNLK,MVL
9100MMIL,MTM
9100MNCRDGT,DGT
9100MNCRIAP,MIA
9100MNCROXR,MCO
9100MNCRPIC,MAN
9100MNCRUFG,MUF
9100MNCRVIC,MCV
9100MNKRISB,MRS
9100MNORBER,MRB
9100MNRD,MNR
9100MNTVRNN,MTV
9100MOBERLY,MOB
9100MOCHARD,MRD
9100MONIFTH,MON
9100MONPELR,MTP
9100MONTRSE,MTS
9100MORAR,MRR
9100MORCAME,MCM
9100MORDENS,MDS
9100MORETON,MTN
9100MORFLDS,MRF
9100MORFNL,MRF
9100MORTHRP,MRP
9100MOSSLEY,MSL
9100MOTFONT,DBG
9100MOTHRWL,MTH
9100MOTNGHM,MTG
9100MOTO,MRT
9100MOTSPRP,MOT
9100MPRT,MRY
9100MRCH,MCH
9100MRGT,MOG
9100MRKSTEY,MKT
9100MRKTHRB,MHR
9100MRLY,MLY
9100MRPTHRP,MPT
9100MRRYTON,MEY
9100MRSD,MSD
9100MRSK,MSK
9100MRSN,MSN
9100MRSTNGR,MGN
9100MRTLKE,MTL
9100MRYHILL,MYH
9100MRYLAND,MYL
9100MSELBGH,MUB
9100MSGT,MSS
9100MSLH,MSH
9100MSSD,MOS
9100MSSPARK,MPK
9100MSTN,MSO
9100MSTONEB,MDB
9100MSTONEE,MDE
9100MSTONEW,MDW
9100MTFL,MFL
9100MTHRNGH,MGM
9100MTIMER,MOR
9100MUIREND,MUI
9100MUROORD,MOO
9100MWRWSTN,MRW
9100MYTHLMR,MYT
9100NABT,NTA
9100NAFERTN,NFN
9100NAILSEA,NLS
9100NAIRN,NRN
9100NANTWCH,NAN
9100NARBRO,NBR
9100NAVGTNR,NVR
9100NBARNET,NBA
9100NBCKNHM,NBC
9100NBERWCK,NBW
9100NBRWGE,NBE
9100NBTN,NBN
9100NCRAGHA,NEW
9100NDULWCH,NDL
9100NEATH,NTH
9100NEEDHAM,NMT
9100NEILSTN,NEI
9100NESTON,NES
9100NETHRTN,NRT
9100NETLEY,NTL
9100NEWANG,NNG
9100NEWBRYR,NRC
9100NEWBURY,NBY
9100NEWCLEE,NCE
9100NEWHVNH,NVH
9100NEWHVNT,NVN
9100NEWLANE,NLN
9100NEWMLDN,NEM
9100NEWNGTN,NGT
9100NEWPRTE,NWE
9100NEWQUAY,NQY
9100NEWSGAT,NSG
9100NEWXGEL,NXG
9100NEWXGTE,NXG
9100NHOL,NHL
9100NINIANP,NNP
9100NITSH,NIT
9100NLANRST,NLR
9100NLRTN,NTR
9100NLSN,NEL
9100NMBRLPK,NUM
9100NMILTON,NWM
9100NMPTN,NMP
9100NNTN,NUN
9100NORBURY,NRB
9100NORMNTN,NOR
9100NORWDJ,NWD
9100NPUD,NPD
9100NQNSFRY,NQU
9100NRBERTH,NAR
9100NRBITON,NBT
9100NRCH,NRW
9100NRMNSBY,NSB
9100NRTF,NFD
9100NRTHFLT,NFL
9100NSHEEN,NSH
9100NSTCYRE,NTC
9100NTHCAMP,NCM
9100NTHOLTP,NLT
9100NTHRFLD,NET
9100NTHWICH,NWI
9100NTNB,NTB
9100NTNG,NOT
9100NTRD,NRD
9100NUNHEAD,NHD
9100NUNTHRP,NNT
9100NUTBORN,NUT
9100NUTFILD,NUF
9100NWALSHM,NWA
9100NWCMNCK,NCK
9100NWCOURT,NCO
9100NWCRELL,NWX
9100NWCROSS,NWX
9100NWCSTLE,NCL
9100NWELTHM,NEH
9100NWEMBLY,NWB
9100NWHYTHE,NHE
9100NWMILSC,NMC
9100NWMILSN,NMN
9100NWMKET,NMK
9100NWPTRTG,NWP
9100NWRKCAS,NCT
9100NWSTEAD,NSD
9100NWTA,NAY
9100NWTGRNG,NEG
9100NWTH,NWN
9100NWTL,NTN
9100NWTM,NWR
9100NWTNLW,NLW
9100NWTOA,NOA
9100NWTP,NWT
9100OAKHAM,OKM
9100OAKNGTS,OKN
9100OBAN,OBN
9100OCKENDN,OCK
9100OCKLYAC,OLY
9100OKHMPTN,OKE
9100OKLGHPK,OKL
9100OLDFLDP,OLF
9100OLDROAN,ORN
9100OLDST,OLD
9100OLHL,OHL
9100OLTON,OLT
9100OPOL,OVE
9100OREE,ORE
9100ORELPKH,OPK
9100ORMSKRK,OMS
9100ORPNGTN,ORP
9100ORRELL,ORR
9100OTFORD,OTF
9100OULTNBN,OUN
9100OULTNBS,OUS
9100OUTWOOD,OUT
9100OVTN,OVR
9100OXENHLM,OXN
9100OXFD,OXF
9100OXFPWAY,OPY
9100OXSHOTT,OXS
9100OXTED,OXT
9100OXTEDBY,OXT
9100PADGATE,PDG
9100PADTON,PAD
9100PAIGNTN,PGN
9100PALMRSG,PAL
9100PANGBRN,PAN
9100PANNAL,PNL
9100PARBOLD,PBL
9100PARR,PAR
9100PARSNST,PSN
9100PARTON,PRN
9100PATCHWY,PWY
9100PATERTN,PTT
9100PBRO,PBO
9100PBRT,PEM
9100PCHESTR,PTC
9100PCKHMQD,QRP
9100PCKHMRY,PMR
9100PEARTRE,PEA
9100PEGSWD,PEG
9100PEMBRKD,PMD
9100PEMBROK,PMB
9100PENARTH,PEN
9100PENCOED,PCD
9100PENEW,PNW
9100PENGAM,PGM
9100PENHELG,PHG
9100PENISTN,PNS
9100PENMERE,PNM
9100PENYCHN,BPC
9100PENZNCE,PNZ
9100PERANWL,PRW
9100PERSHOR,PSH
9100PERTH,PTH
9100PETSWD,PET
9100PEWSEY,PEW
9100PHBR,PMH
9100PHLD,PTL
9100PILNING,PIL
9100PINHOE,PIN
9100PITSEA,PSE
9100PKHMRYC,PMR
9100PKST,PKT
9100PKWD,PDW
9100PLKLHDE,PLE
9100PLKLHDW,PLW
9100PLKSHWE,PWE
9100PLKSHWW,PWW
9100PLMPTON,PMP
9100PLMS,PLU
9100PLOCKTN,PLK
9100PLSNGTN,PLS
9100PLTH,PLN
9100PLTNLFY,PFY
9100PLUCKLY,PLC
9100PLUMLEY,PLM
9100PLYMTH,PLY
9100PMBRYBP,PBY
9100PNALLY,PNA
9100PNDRSEN,PON
9100PNGEE,PNE
9100PNKRDG,PKG
9100PNMNMWR,PMW
9100PNRHCBR,PER
9100PNSHRST,PHR
9100PNTADLS,PTD
9100PNTH,PNR
9100PNTLTYN,PLT
9100PNTRBCH,PTB
9100PNTYFYN,PTF
9100PNYF,PNF
9100PNYPANT,PYP
9100POKSDWN,POK
9100POLGATE,PLG
9100POLMONT,PMT
9100POLSBDG,POL
9100PONTYPL,PPL
9100PONYCLN,PYC
9100POOLE,POO
9100POPLTON,POP
9100PORH,POR
9100POSILPK,PPK
9100POTRSBR,PBR
9100POYNTON,PYT
9100PPAN,PST
9100PREES,PRS
9100PRESCOT,PSC
9100PRHN,PRH
9100PRINRIS,PRR
9100PRITLWL,PRL
9100PRKSTON,HPQ
9100PRSP,PRP
9100PRST,PRE
9100PRTHHBR,PMG
9100PRTHMDG,PTM
9100PRTSMTA,PMA
9100PRUDHOE,PRU
9100PRYBR,PRY
9100PRYN,PYN
9100PSBY,PRB
9100PSEA,PMS
9100PSLDAWH,PLD
9100PSLT,PSL
9100PSLYCAN,PCN
9100PSLYGST,PYG
9100PSLYSTJ,PYJ
9100PSRN,PES
9100PSTA,PRT
9100PSTONE,PKS
9100PTALBOT,PTA
9100PTCK,PTK
9100PTFTBHL,PFR
9100PTFTMHL,PFM
9100PTFTTSF,POT
9100PTGLSGW,PTG
9100PTLCHRY,PIT
9100PTRCRFT,PAT
9100PTRSFLD,PTR
9100PTYPRID,PPD
9100PULBRO,PUL
9100PURFLET,PFL
9100PURLEY,PUR
9100PURLEYO,PUO
9100PUTNEY,PUT
9100PVNSYAW,PEV
9100PVNSYBY,PEB
9100PWCK,PTW
9100PWCKAPT,PRA
9100PWLHELI,PWL
9100PWTH,PSW
9100PYBONT,PNY
9100PYECRNR,PYE
9100PYLE,PYL
9100QNTRLDW,QUI
9100QPRK,QPW
9100QTRDBAT,QRB
9100QUAKRSY,QYD
9100QUENBRO,QBR
9100QUNPARK,QPK
9100RADLETT,RDT
9100RADNOT,RDF
9100RADYR,RDR
9100RAINHMK,RAI
9100RAMSGTE,RAM
9100RANNOCH,RAN
9100RAUCEBY,RAU
9100RAWCLIF,RWC
9100RAYLEGH,RLG
9100RAYNSPK,RAY
9100RBRN,RVB
9100RBRTSBD,RBR
9100RBRYSTN,RRN
9100RCHDALE,RCD
9100RCHE,ROC
9100RCHT,RTR
9100RCKMNSW,RIC
9100RCTRYRD,REC
9100RDHAMN,REE
9100RDIT,RDC
9100RDLEY,RAD
9100RDLSDWN,RDD
9100RDNG4AB,RDG
9100RDNGSTN,RDG
9100REDBDGE,RDB
9100REDCARC,RCC
9100REDCARE,RCE
9100REDCBSC,RBS
9100REDGWST,RDW
9100REDHILL,RDH
9100REDISHN,RDN
9100REDISHS,RDS
9100REDLAND,RDA
9100REDRUTH,RED
9100REEDHMS,RHM
9100REIGATE,REI
9100RENTON,RTN
9100RGHTNRD,RNR
9100RGLS,RAV
9100RHIL,RNH
9100RHIWBNA,RHI
9100RHOOSE,RIA
9100RHOSNGR,RHO
9100RHYL,RHL
9100RHYMNEY,RHY
9100RIBLHED,RHD
9100RICELA,RIL
9100RICHMND,RMD
9100RICHNLL,RMD
9100RIDGMNT,RID
9100RIDNGML,RDM
9100RISCA,RCA
9100RISHTON,RIS
9100RMSWILP,RGW
9100RNFD,RNF
9100RNHAME,RNM
9100ROBY,ROB
9100ROCHFD,RFD
9100ROCKFRY,RFY
9100ROGART,ROG
9100ROGRSTN,ROR
9100ROHL,RSH
9100ROLSTN,ROL
9100ROMANBG,RMB
9100ROMFORD,RMF
9100ROMILEY,RML
9100ROMSEY,ROM
9100ROOSE,ROO
9100ROSG,RSG
9100ROSYTH,ROS
9100ROTHCEN,RMC
9100ROWLEYR,ROW
9100ROYBDGE,RYB
9100ROYDON,RYN
9100ROYSTON,RYS
9100RSKNGTN,RKT
9100RTFD,RET
9100RTFDLL,REL
9100RTHERHI,ROE
9100RTHGLEN,RUT
9100RTHP,RVN
9100RUABON,RUA
9100RUFDORD,RUF
9100RUGBY,RUG
9100RUGL,RGL
9100RUGLTWN,RGT
9100RUNCORN,RUN
9100RUNCRNE,RUE
9100RUSWARP,RUS
9100RWLNDSC,RLN
9100RYDE,RYD
9100RYDP,RYP
9100RYDRBRW,RRB
9100RYDS,RYR
9100RYEE,RYE
9100RYEHOUS,RYH
9100SABR,SNA
9100SACTON,SAT
9100SADWRD,SAR
9100SAIR,SAE
9100SALFDS,SAF
9100SALHOUS,SAH
9100SALWICK,SLW
9100SAMPCRT,SMC
9100SANDH,SDL
9100SANKEY,SNK
9100SANQHAR,SQH
9100SARN,SRR
9100SASH,STS
9100SAXILBY,SXY
9100SBCH,SDB
9100SBDGWTH,SAW
9100SBOURNE,SOB
9100SBRMNDS,SBM
9100SBRN,SLB
9100SBROUGH,SLL
9100SBURY,SBU
9100SBYD,SYB
9100SCARBRO,SCA
9100SCNTHRP,SCU
9100SCROYDN,SCY
9100SCSCLDR,SCT
9100SCTSTNH,SCH
9100SDAL,SVR
9100SDBRYHH,SDH
9100SDBRYHR,SUD
9100SDLG,SDG
9100SDON,SWI
9100SDPLACE,SDP
9100SDRSFOT,SDF
9100SDSD,SNR
9100SEABURN,SEB
9100SEAFORD,SEF
9100SEAHAM,SEA
9100SEAMER,SEM
9100SEASCAL,SSC
9100SEERGRN,SRG
9100SELAFLD,SEL
9100SELBY,SBY
9100SELHRST,SRS
9100SELLING,SEG
9100SELMSAL,SES
9100SELYOAK,SLY
9100SEMILLS,SML
9100SESABUS,ZBU
9100SESARDM,SEE
9100SETNCRW,SEC
9100SETTLE,SET
9100SEVNSIS,SVS
9100SEVTNLJ,STJ
9100SFRTHAL,SFL
9100SGFORD,SGN
9100SGRLOAF,SUG
9100SHADWEL,SDE
9100SHALFD,SFR
9100SHAMPTN,SHH
9100SHANKLN,SHN
9100SHAWFD,SHW
9100SHBN,SIE
9100SHBRYNS,SRY
9100SHDN,SHD
9100SHEFFLD,SHF
9100SHELFD,SED
9100SHENFLD,SNF
9100SHEPRTN,SHP
9100SHERBRN,SHE
9100SHIFNAL,SFN
9100SHILDMR,SDM
9100SHIRLEY,SRL
9100SHLIER,SIH
9100SHMPSTD,SOH
9100SHNS,SEN
9100SHOLING,SHO
9100SHOTTHL,SHT
9100SHOTTON,SHT
9100SHPDSB,SPB
9100SHPE,SNP
9100SHPLAKE,SHI
9100SHPRTH,STH
9100SHPY,SHY
9100SHRBROK,SHB
9100SHRDHST,SDC
9100SHRGHAM,SHM
9100SHRHMBS,SSE
9100SHRKSKS,SRO
9100SHRMKT,SEH
9100SHRNSOS,SSS
9100SHRTLND,SRT
9100SHRWBY,SHR
9100SHTLSTN,SLS
9100SHTT,SHS
9100SHVN,STN
9100SHWFAIR,SFI
9100SHWLNDS,SHL
9100SIDCUP,SID
9100SILCRFT,SIC
9100SILEBY,SIL
9100SINGER,SIN
9100SIVRST,SLV
9100SKEGNES,SKG
9100SKENTON,SOK
9100SKEWEN,SKE
9100SKPT,SKI
9100SKSCMN,SLK
9100SLADEGN,SGR
9100SLATEFD,SLA
9100SLCT,SLT
9100SLEFD,SLR
9100SLEGHTS,SLH
9100SLEHOPE,SFO
9100SLFDCT,SLD
9100SLFDORD,SFD
9100SLOUGH,SLO
9100SLSBRY,SAL
9100SLTHWTE,SWT
9100SLTMRSH,SAM
9100SMALBRK,SAB
9100SMARGRT,SMT
9100SMBG,SMB
9100SMERTON,SMO
9100SMILFD,SOM
9100SMINSTR,SMN
9100SMLHTH,SMA
9100SMRLYTN,SYT
9100SMTHKRS,SMR
9100SNAITH,SNI
9100SNDHRST,SND
9100SNDOWN,SAN
9100SNDP,SUP
9100SNDRLND,SUN
9100SNDRMNK,STZ
9100SNDWDUD,SAD
9100SNDY,SDY
9100SNGT,SOG
9100SNODLND,SDA
9100SNWDNAN,SWO
9100SOAV,SAV
9100SOAVPWY,STY
9100SOLEST,SOR
9100SOLIHUL,SOL
9100SOTNTQ,STQ
9100SOTON,SOU
9100SOTPKWY,SOA
9100SOUTHPT,SOP
9100SPALDNG,SPA
9100SPDN,SPO
9100SPEANBD,SBR
9100SPFD,SPF
9100SPHL,SPP
9100SPHS,SPU
9100SPITAL,SPI
9100SPLY,SPY
9100SPONRRW,SPN
9100SPRD,SRI
9100SPRNGBN,SPR
9100SPTN,SIP
9100SQUIRES,SQU
9100SRUISLP,SRU
9100SSEACLE,SHV
9100STAFFRD,STA
9100STAINES,SNS
9100STALBCY,SAC
9100STALBNA,SAA
9100STAMFD,SMD
9100STANAIR,SSD
9100STANMFC,SST
9100STARBCK,SBE
9100STAS,SAS
9100STAUSTL,SAU
9100STAVELY,SVL
9100STBDXFR,SBF
9100STBDXVR,SBV
9100STBEES,SBS
9100STCKSFL,SKS
9100STCLMBR,SCR
9100STCN,STC
9100STCR,SCG
9100STDENYS,SDN
9100STECHFD,SCF
9100STEETON,SON
9100STEPPS,SPS
9100STERTH,SER
9100STEVNGE,SVG
9100STEWRTN,STT
9100STFD,SRA
9100STFODOM,SFA
9100STGRMNS,SGM
9100STHALL,STL
9100STHBANK,SBK
9100STHCENT,SOC
9100STHEAIR,SIA
9100STHGYLE,SGL
9100STHLNSC,SNH
9100STHLNSJ,SHJ
9100STHNDE,SOE
9100STHS,SHC
